GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",37821,1814,60404,4420,62407,6361,62202,6559,63036,14503,71625,14597,93906,21696,80278,31116,49167,46883,45698,5284,45370,6874,61607,50508,58750,22865,32000,11903,71875,12052,80238,3748,33167,2603,26227,3198,34583,5043,60156,15010,43542,10211,81389,24956,22344,5066,22847,4991,20083,10329,28648,3063,23013,3788,32351,5185,51859,4291,32135,7498,51302,4260,60500,12888,39853,6868,33125,13461,50217,3173,17279,5169
0500000US02150,02150,"Kodiak Island Borough, Alaska",33878,3893,51909,2763,56913,6638,60833,17854,56556,1721,51042,13737,21771,23187,52853,18490,51823,34155,44539,6414,37159,22675,-,**,46546,15432,43861,13810,51842,12351,71629,16535,50285,20717,26388,4847,25982,12542,45469,35511,45938,45963,37460,67882,18594,11505,34306,11681,16304,5846,31175,4281,33828,13898,30244,3968,37500,12056,21605,16428,40509,31603,46437,1332,23396,3485,22538,2250,42083,20484,17625,6790
0500000US02158,02158,"Kusilvak Census Area, Alaska",20840,1530,30292,4626,39219,4164,39531,3692,31875,56328,26250,102846,-,**,88250,94404,18333,2985,25329,4464,21806,2343,16250,28562,25078,3512,148490,155977,100368,110065,101029,116657,34375,26496,16250,1915,26042,4344,17188,23515,50556,58513,11250,5869,18571,2267,16875,2654,10104,2162,17432,4339,11685,1629,21797,3163,20033,8422,25625,51864,19063,10558,20682,4896,18262,1876,19563,10409,19000,6874,16154,7134
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",25375,7925,35375,7455,31250,18941,32500,20267,24250,23438,27500,18105,-,**,-,**,-,**,35250,6835,36250,3733,-,**,24000,5106,41875,9277,66250,40147,85000,37024,31250,26336,16667,3296,31250,12083,70313,4643,70625,12763,66250,33066,12500,3523,15893,4417,16750,3019,25833,10270,13333,7539,31000,7971,50625,28397,27500,18661,26250,22055,80655,42846,16683,5599,23281,9370,35625,41590,15568,14533
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",42156,1073,59026,2935,61260,4392,65121,5291,53750,2925,70663,5282,68427,8368,77288,3444,59583,17629,50773,2379,48886,3595,54844,3089,54077,2617,23333,6109,65185,6614,76406,4624,48571,14841,21704,1555,26050,2716,61818,3660,50000,11426,70865,4867,15702,1880,23849,4887,18593,1822,32664,1974,30366,3858,34641,2294,60028,6917,22596,10281,60575,5369,60993,5772,39534,4863,44734,7254,36066,7278,23871,5741
0500000US02180,02180,"Nome Census Area, Alaska",31737,1412,51185,2302,60326,5738,60761,5550,57500,28879,70893,13509,57500,12393,73125,15390,80938,19495,36250,9112,48672,2368,50750,22795,31591,4167,28125,12668,65357,8936,75000,18499,48333,35402,18250,2240,32222,5980,46250,24840,14659,18459,79375,23680,17804,3598,16429,2541,11250,2885,32063,2693,21806,3793,36000,3263,39250,11146,30938,4542,33125,11877,51719,13248,22396,3834,21500,4687,26389,8147,23958,13115
0500000US02185,02185,"North Slope Borough, Alaska",67078,5707,86667,15558,112500,29003,122143,38370,91111,25494,103125,18573,70625,24137,119750,58058,83438,20439,45750,15109,41250,26288,-,**,45500,12701,77500,115696,100909,25090,121125,25994,39583,56724,31358,4569,35417,32642,66111,3623,65799,3071,100341,66999,31563,19811,27292,4153,17434,5810,51300,3996,55444,7421,50139,5819,90345,7575,4375,18652,91597,14000,85938,14989,53333,21799,71944,31821,34432,17686,37614,21954
0500000US02188,02188,"Northwest Arctic Borough, Alaska",38618,4415,56442,5996,61667,4686,62955,8674,52500,12217,62679,24022,73000,18601,51667,47855,41250,37350,51797,11168,57083,5791,130208,17747,45972,17627,7188,12988,51875,18633,67188,33202,41667,8130,24911,4946,43333,7261,68750,26535,52917,24415,79250,31479,20234,5873,24250,5196,10500,3980,38875,6149,31875,25464,39750,5784,39063,10541,12813,6191,30750,9029,82750,5337,27188,10121,28750,13310,49375,49478,19500,9449
0500000US02195,02195,"Petersburg Borough, Alaska",35893,5550,60644,5549,62237,11145,60789,3266,83438,882,70938,13789,80625,10123,61250,36921,61875,13197,51667,2712,50833,9488,-,**,51806,5150,48750,15948,50714,55851,23750,34008,71250,2680,26250,5647,27500,4434,52917,12106,50625,17670,57500,38433,18571,5861,31250,46657,25417,20154,29167,6285,25833,4193,33125,6648,36964,30976,19483,12660,72019,17076,58438,6804,19091,9131,18015,7274,41250,22871,19000,17773
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",31144,1664,50379,3483,48393,5881,47500,8421,50694,17939,60000,17281,55625,7748,70673,4724,52292,19405,39375,14043,34063,5781,68854,570,34750,19907,66875,16333,100417,49936,102361,14829,46250,14871,20446,5466,30893,5333,62708,20512,65000,41402,60625,30758,10250,2157,13125,8977,13125,19370,23580,3006,13750,3632,27112,2516,38393,6528,29531,7898,41667,9970,55962,2595,23906,5734,25694,5737,35000,13746,12266,5339
